"Index","PMIDs","Effect.size","Measurement","SD","Sample.size","Number.of.groups","Placebo.group.n","Treatment.group.n","df","corrt"
1,"16296913",-0.4,"SMD",0.31,43,2,21,22,41,-1.33571675297798
2,"11341460",-0.34,"SMD",0.28,51,4,26,25,49,-1.23277520275224
3,"9758072",-0.17,"SMD",0.1,400,2,200,200,398,-1.70321158690176
5,"11479782",0.76,"SMD",0.48,19,2,8,11,17,1.71227279514685
6,"9429007",-0.18,"SMD",0.27,57,2,28,29,55,-0.688816363377163
7,"2610800",0.25,"SMD",0.34,34,2,17,17,32,0.746502913957009
8,"7983994",0.73,"SMD",0.42,24,2,13,11,22,1.84554748798281
10,"10703904",0.3,"SMD",0.26,61,2,32,29,59,1.18525065148264
11,"9137850",0,"SMD",0.21,98,2,37,61,96,0
12,"8165068",0.44,"SMD",0.23,81,2,41,40,79,1.99888611321971
14,"2876326",0.62,"SMD",0.17,144,2,70,74,142,3.73834413646459
20,"1596811",0.02,"SMD",0.4,171,2,84,87,169,0.131330533831784
22,"15750360",1.22,"SMD",0.3,53,3,27,26,51,4.50667763829095
23,"16036165",0.93,"SMD",0.36,40,3,12,28,38,2.75003248171268
24,"20380750",0.08,"SMD",0.23,79,2,40,39,77,0.359007509014024
26,"2972455",0.57,"SMD",0.36,32,2,15,17,30,1.65066494719581
28,"17227743",0.43,"SMD",0.19,111,2,58,53,109,2.2785806653892
29,"16322812",0.75,"SMD",0.28,55,2,22,33,53,2.76418654924574
30,"12801490",-1.12,"SMD",0.33,44,3,23,21,42,-3.77866049250588
31,"22852580",0.41,"SMD",0.2,101,2,51,50,99,2.07588976977384
32,"11505416",1.02,"SMD",0.38,30,2,15,15,28,2.87097907225625
33,"15750359",0.34,"SMD",0.27,53,2,25,28,51,1.25416894982972
35,"18243940",-0.2,"SMD",0.48,16,2,9,7,14,-0.419758621466978
36,"9251877",-0.65,"SMD",0.26,60,2,30,30,58,-2.55056337470633
37,"14587682",0.37,"SMD",0.43,20,2,9,11,18,0.859515592305896
38,"10671699",0.56,"SMD",0.26,61,2,28,33,59,2.20769448371646
39,"10703903",-0.27,"SMD",0.24,68,2,33,35,66,-1.12559641300028
40,"17015192",0.04,"SMD",0.38,27,4,12,15,25,0.106507042020704
41,"10335412",0.19,"SMD",0.22,80,2,41,39,78,0.857714025610875
42,"15016577",0.68,"SMD",0.22,86,2,43,43,84,3.18152152601494
48,"11898106",0.22,"SMD",0.21,90,2,46,44,88,1.05228784214911
49,"12716269",0.32,"SMD",0.32,39,2,19,20,37,1.01968097351539
50,"20129178",1.52,"SMD",0.41,30,2,16,14,28,4.26880378575976
